Num,Filename,Kor
58,NIA_SL_SEN0112_REAL01,안되다
59,NIA_SL_SEN1470_REAL01,터널 다음 여기
60,NIA_SL_SEN0837_REAL01,시청 오케이
62,NIA_SL_SEN1764_REAL01,편지 저기 곳 다음 차내리다
63,NIA_SL_SEN0769_REAL01,건너다 차내리다 오케이
64,NIA_SL_SEN0664_REAL01,지름길 차내리다 가다
65,NIA_SL_SEN1418_REAL01,영등포 곳 찾다 길 가다 방법
67,NIA_SL_SEN1454_REAL01,종로 찾다 가다 곳 방법
68,NIA_SL_SEN0141_REAL01,택시 곳 가깝다
69,NIA_SL_SEN0912_REAL01,춥다 켜다
70,NIA_SL_SEN0617_REAL01,고속터미널 곳 가다
72,NIA_SL_SEN0724_REAL01,나사렛 전 도착 내리다
73,NIA_SL_SEN0042_REAL01,돈 얼마 맞다 확인
74,NIA_SL_SEN1169_REAL01,공항 버스 전 곳 보다 도착 내리다
75,NIA_SL_SEN0482_REAL01,카드 또 다르다 없다
77,NIA_SL_SEN0897_REAL01,에어컨
78,NIA_SL_SEN1219_REAL01,스타벅스 곳 저기 전 저기
79,NIA_SL_SEN1758_REAL01,경찰 저기 곳 다음 도착 내리다
80,NIA_SL_SEN1944_REAL01,카드 가능
82,NIA_SL_SEN1437_REAL01,이화여대 가다 목적 길 방법
83,NIA_SL_SEN0573_REAL01,나사렛 내리다
84,NIA_SL_SEN0161_REAL01,도착 알려주다
85,NIA_SL_SEN0961_REAL01,청음회관 곳
87,NIA_SL_SEN1772_REAL01,맞다
88,NIA_SL_SEN0493_REAL01,카드 단말기터치 다시
89,NIA_SL_SEN0969_REAL01,춥다 끄다
90,NIA_SL_SEN0785_REAL01,여기 차내리다 맞다
92,NIA_SL_SEN0744_REAL01,기차 곳 차내리다 맞다
93,NIA_SL_SEN0430_REAL01,여기 내리다 맞다
94,NIA_SL_SEN0370_REAL01,도착 10분
95,NIA_SL_SEN1002_REAL01,약 곳 무엇
97,NIA_SL_SEN1147_REAL01,카드 사용 안되다 고장
98,NIA_SL_SEN0195_REAL01,모르다
99,NIA_SL_SEN0768_REAL01,건너다 차내리다 오케이
100,NIA_SL_SEN0118_REAL01,신분당 곳 무엇
102,NIA_SL_SEN0043_REAL01,밤 12시 후 돈 추가
103,NIA_SL_SEN1190_REAL01,버스 전 곳 저기 내리다
104,NIA_SL_SEN0462_REAL01,물품보관 안되다
105,NIA_SL_SEN1519_REAL01,버스 곳 저기 다음 도착 차내리다
107,NIA_SL_SEN0686_REAL01,샛길 도착
108,NIA_SL_SEN0093_REAL01,도착 곳 국립박물관
109,NIA_SL_SEN0113_REAL01,타다
110,NIA_SL_SEN1134_REAL01,자판기 고장 죽다
112,NIA_SL_SEN1631_REAL01,지하철 곳 다음 내리다
113,NIA_SL_SEN1468_REAL01,터널 다음 도착 차내리다
114,NIA_SL_SEN1655_REAL01,병원 다음 내리다
115,NIA_SL_SEN1428_REAL01,이화여대 길 목적 무엇 방법
117,NIA_SL_SEN1126_REAL01,물품보관 잘 안되다 죽다
118,NIA_SL_SEN0853_REAL01,나사렛 차내리다 오케이
119,NIA_SL_SEN0101_REAL01,지하철 곳 번호 1
120,NIA_SL_SEN0114_REAL01,타다
122,NIA_SL_SEN1356_REAL01,서울대학교 가다 원하다 길 가다 방법
123,NIA_SL_SEN1044_REAL01,안내소 뼈곳
124,NIA_SL_SEN1234_REAL01,택시 전 저기 곳
125,NIA_SL_SEN1886_REAL01,지갑 사라지다 실종
127,NIA_SL_SEN1800_REAL01,열쇠 실종 잃어버리다
128,NIA_SL_SEN0805_REAL01,기차 곳 차내리다 맞다
129,NIA_SL_SEN1974_REAL01,노트북 찾다 실종
130,NIA_SL_SEN0748_REAL01,기차 곳 차내리다 맞다
132,NIA_SL_SEN0804_REAL01,기차 곳 내리다 맞다
133,NIA_SL_SEN0406_REAL01,택시 문자보내다 맞다
134,NIA_SL_SEN0061_REAL01,돈 계산 잘못하다
135,NIA_SL_SEN1570_REAL01,보건소 곳 다음 여기
137,NIA_SL_SEN1945_REAL01,카드
138,NIA_SL_SEN0398_REAL01,도착 곳 알려주다
139,NIA_SL_SEN1541_REAL01,대로 다음 내리다
140,NIA_SL_SEN0367_REAL01,1호 맞다
142,NIA_SL_SEN0848_REAL01,나사렛 오케이
143,NIA_SL_SEN1889_REAL01,안경 찾다 실종
144,NIA_SL_SEN1482_REAL01,군청 곳 다음 내리다
145,NIA_SL_SEN0030_REAL01,항상
147,NIA_SL_SEN1254_REAL01,맥도날드 보다 다음 곳 차내리다
148,NIA_SL_SEN1696_REAL01,사거리 다음 도착 내리다
149,NIA_SL_SEN0976_REAL01,따뜻하다 끄다
150,NIA_SL_SEN0579_REAL01,나사렛 곳
152,NIA_SL_SEN0045_REAL01,고속 돈주다
153,NIA_SL_SEN0259_REAL01,계산 남다 돈받다
154,NIA_SL_SEN1594_REAL01,경찰 저기 곳 다음 차내리다
155,NIA_SL_SEN1108_REAL01,난방 불량 사용 불가능
157,NIA_SL_SEN1733_REAL01,언덕 저기 곳 다음 내리다
158,NIA_SL_SEN0415_REAL01,명동 가다
159,NIA_SL_SEN0004_REAL01,오른쪽
160,NIA_SL_SEN1008_REAL01,은행 길 곳
162,NIA_SL_SEN1765_REAL01,편지 저기 곳 다음 차내리다
163,NIA_SL_SEN1668_REAL01,샛길 저기 다음 도착 내리다
164,NIA_SL_SEN0188_REAL01,괜찮다
165,NIA_SL_SEN1039_REAL01,안내소 무엇
167,NIA_SL_SEN0826_REAL01,건너다 오케이
168,NIA_SL_SEN0809_REAL01,기차 곳 차내리다 맞다
169,NIA_SL_SEN0910_REAL01,에어컨 켜다
170,NIA_SL_SEN1404_REAL01,영등포 길 찾다 방법 무엇
172,NIA_SL_SEN1907_REAL01,유턴 맞다
173,NIA_SL_SEN0582_REAL01,응급실 가다
174,NIA_SL_SEN1513_REAL01,버스 곳 다음 내리다
175,NIA_SL_SEN1748_REAL01,은행 저기 곳 다음 도착 내리다
177,NIA_SL_SEN0507_REAL01,유리 올리다
178,NIA_SL_SEN1352_REAL01,서울대학교 찾다 목적 길 가다 방법
179,NIA_SL_SEN0219_REAL01,사거리 우회전
180,NIA_SL_SEN0920_REAL01,난방 켜다
182,NIA_SL_SEN0528_REAL01,영수증
183,NIA_SL_SEN1803_REAL01,우산 실종
184,NIA_SL_SEN0242_REAL01,지하철 계단 곳 12
185,NIA_SL_SEN1490_REAL01,군청 곳 다음 여기
187,NIA_SL_SEN1123_REAL01,물품보관 불량 죽다
188,NIA_SL_SEN1981_REAL01,빨리 접근 가능
189,NIA_SL_SEN0179_REAL01,한달 누적사용 내역 보다 원하다
190,NIA_SL_SEN1499_REAL01,병원 저기 다음 도착 차내리다
192,NIA_SL_SEN0029_REAL01,항상
193,NIA_SL_SEN1727_REAL01,보건소 곳 다음 도착 내리다
194,NIA_SL_SEN0554_REAL01,우회전 확인 맞다
195,NIA_SL_SEN1984_REAL01,접근 도착 가능
197,NIA_SL_SEN1849_REAL01,좌회전 맞다
198,NIA_SL_SEN1301_REAL01,이마트 다음 곳 내리다
199,NIA_SL_SEN0634_REAL01,명동 내리다
200,NIA_SL_SEN1152_REAL01,카드 불량 잘 안되다
202,NIA_SL_SEN1155_REAL01,카드 불량 사용 안되다
203,NIA_SL_SEN0739_REAL01,기차 곳 맞다
204,NIA_SL_SEN0713_REAL01,아파트 저기
205,NIA_SL_SEN1385_REAL01,여의도 길 방법
207,NIA_SL_SEN0249_REAL01,8호 곳곳
208,NIA_SL_SEN1737_REAL01,언덕 저기 곳 다음 도착 내리다
209,NIA_SL_SEN1354_REAL01,서울대학교 목적 가다 길 무엇
210,NIA_SL_SEN0983_REAL01,청음회관
212,NIA_SL_SEN0618_REAL01,고속터미널 가다 내리다
213,NIA_SL_SEN1114_REAL01,엘리베이터 고장 사용 불가능
214,NIA_SL_SEN0515_REAL01,에어컨 끄다
215,NIA_SL_SEN1237_REAL01,택시 전 저기 도착 차내리다
217,NIA_SL_SEN1522_REAL01,119 곳 다음 내리다
218,NIA_SL_SEN1160_REAL01,에어컨 고장 안되다
219,NIA_SL_SEN0117_REAL01,신분당 곳
220,NIA_SL_SEN0909_REAL01,에어컨 켜다
222,NIA_SL_SEN1531_REAL01,사거리 다음 내리다
223,NIA_SL_SEN0191_REAL01,충분하다
224,NIA_SL_SEN0670_REAL01,지름길 가다 차내리다
225,NIA_SL_SEN1200_REAL01,버스 곳 전 보다 차내리다
227,NIA_SL_SEN0867_REAL01,한국농아인협회 차내리다
228,NIA_SL_SEN1357_REAL01,서울대학교 찾다 가다 길 가다 방법
229,NIA_SL_SEN1227_REAL01,택시 전 곳 도착 차내리다
230,NIA_SL_SEN1196_REAL01,버스 곳 전 보다 내리다
232,NIA_SL_SEN1760_REAL01,경찰 저기 곳 다음 도착 차내리다
233,NIA_SL_SEN1960_REAL01,시계 잃어버리다 실종
234,NIA_SL_SEN1667_REAL01,샛길 저기 다음 도착 내리다
235,NIA_SL_SEN1065_REAL01,자판기 안되다 죽다
237,NIA_SL_SEN1117_REAL01,물품보관 불량
238,NIA_SL_SEN1842_REAL01,좌회전 맞다
239,NIA_SL_SEN0292_REAL01,지하철 철로 물건 떨어지다
240,NIA_SL_SEN1783_REAL01,가방 잃어버리다 실종
242,NIA_SL_SEN1678_REAL01,버스 곳 저기 다음 도착 내리다
243,NIA_SL_SEN0957_REAL01,청음회관 차내리다
244,NIA_SL_SEN1422_REAL01,이화여대 찾다 목적 방법
245,NIA_SL_SEN0781_REAL01,여기 맞다
247,NIA_SL_SEN1136_REAL01,자판기 잘 안되다 죽다
248,NIA_SL_SEN1189_REAL01,버스 전 곳 저기 내리다
249,NIA_SL_SEN0388_REAL01,엘리베이터 안내하다 도움받다
250,NIA_SL_SEN1829_REAL01,우회전 확인 맞다
252,NIA_SL_SEN1879_REAL01,아이 실종
253,NIA_SL_SEN1078_REAL01,단말기터치 사용 불가능 고장
254,NIA_SL_SEN0389_REAL01,엘리베이터 안내하다 도와주다
255,NIA_SL_SEN1221_REAL01,스타벅스 전 곳 내리다
257,NIA_SL_SEN0676_REAL01,학교 안 도착
258,NIA_SL_SEN1609_REAL01,편지 저기 곳 다음 도착 차내리다
259,NIA_SL_SEN0352_REAL01,시간 지연되다 몇분
260,NIA_SL_SEN0688_REAL01,샛길 가다
262,NIA_SL_SEN0974_REAL01,난방 끄다
263,NIA_SL_SEN0129_REAL01,시간 지연되다 5분
264,NIA_SL_SEN1070_REAL01,공기청정기 안되다 불량
265,NIA_SL_SEN0981_REAL01,따뜻하다 끄다
267,NIA_SL_SEN1851_REAL01,좌회전 맞다
268,NIA_SL_SEN1917_REAL01,차밀리다 기다리다
269,NIA_SL_SEN0175_REAL01,여기 있다
270,NIA_SL_SEN0753_REAL01,버스 곳 차내리다 맞다
272,NIA_SL_SEN1096_REAL01,카드 고장 사용 안되다
273,NIA_SL_SEN0090_REAL01,도착 곳 명동 지하철
274,NIA_SL_SEN1505_REAL01,샛길 다음 차내리다
275,NIA_SL_SEN0123_REAL01,9호 갈아타다 목적
277,NIA_SL_SEN1809_REAL01,지갑 잃어버리다
278,NIA_SL_SEN1903_REAL01,카드 실종
279,NIA_SL_SEN0346_REAL01,지하철 안 에어컨 냄새
280,NIA_SL_SEN0271_REAL01,학교 주차 되다
282,NIA_SL_SEN0435_REAL01,신호등 전 내리다
283,NIA_SL_SEN0907_REAL01,에어컨
284,NIA_SL_SEN0008_REAL01,저기
285,NIA_SL_SEN0353_REAL01,지하철 문 여기 번호
287,NIA_SL_SEN0349_REAL01,핸드폰 잃어버리다 찾다
288,NIA_SL_SEN0652_REAL01,공항 내리다 가다
289,NIA_SL_SEN1118_REAL01,물품보관 고장
290,NIA_SL_SEN1515_REAL01,버스 곳 다음 차내리다
292,NIA_SL_SEN0723_REAL01,나사렛 전 곳
293,NIA_SL_SEN1091_REAL01,카드 사용 불가능 안되다
294,NIA_SL_SEN1289_REAL01,이마트 곳 저기 다음 내리다
295,NIA_SL_SEN0456_REAL01,화장실 무엇 곳
297,NIA_SL_SEN0143_REAL01,버스 곳 가깝다
298,NIA_SL_SEN1998_REAL01,보청기 찾다 실종
299,NIA_SL_SEN1724_REAL01,보건소 곳 다음 차내리다
300,NIA_SL_SEN1982_REAL01,빨리 접근 되다
302,NIA_SL_SEN1291_REAL01,이마트 곳 저기 다음 차내리다
303,NIA_SL_SEN0692_REAL01,아파트 저기
304,NIA_SL_SEN0296_REAL01,지하철 문 틈 이어폰 떨어지다
305,NIA_SL_SEN0091_REAL01,하나 다음 도착
307,NIA_SL_SEN1835_REAL01,우회전 맞다
308,NIA_SL_SEN1666_REAL01,샛길 저기 다음 곳
309,NIA_SL_SEN1355_REAL01,서울대학교 곳 가다 길 가다 방법
310,NIA_SL_SEN0048_REAL01,택시 돈 되다
312,NIA_SL_SEN0385_REAL01,지하철 곳 안내하다
313,NIA_SL_SEN0103_REAL01,지하철 곳 12
314,NIA_SL_SEN1827_REAL01,우회전 맞다
315,NIA_SL_SEN0319_REAL01,약수 지하철 3호 갈아타다
317,NIA_SL_SEN0464_REAL01,물품보관 사용 안되다
318,NIA_SL_SEN0745_REAL01,기차 곳 내리다 맞다
319,NIA_SL_SEN0322_REAL01,물건 잃어버리다
320,NIA_SL_SEN1440_REAL01,이화여대 길 목적 길 무엇
322,NIA_SL_SEN0151_REAL01,짐 차 트렁크열다 나르다
323,NIA_SL_SEN1216_REAL01,스타벅스 곳 저기 전 도착 차내리다
324,NIA_SL_SEN0186_REAL01,발생하다
325,NIA_SL_SEN0716_REAL01,아파트 안 곳
327,NIA_SL_SEN0568_REAL01,카드 되다
328,NIA_SL_SEN1654_REAL01,병원 다음 차내리다
329,NIA_SL_SEN1553_REAL01,육교 곳 다음 차내리다
330,NIA_SL_SEN1717_REAL01,육교 곳 다음 도착 내리다
332,NIA_SL_SEN1536_REAL01,사거리 다음 도착 내리다
333,NIA_SL_SEN1632_REAL01,지하철 곳 다음 내리다
334,NIA_SL_SEN1408_REAL01,영등포 길 찾다 무엇 방법
335,NIA_SL_SEN1338_REAL01,3 곳 길 무엇
337,NIA_SL_SEN0760_REAL01,건너다 내리다
338,NIA_SL_SEN0062_REAL01,돈 계산 틀리다
339,NIA_SL_SEN0792_REAL01,지금 맞다
340,NIA_SL_SEN0637_REAL01,명동 도착
342,NIA_SL_SEN1432_REAL01,이화여대 길 목적 곳 방법
343,NIA_SL_SEN0146_REAL01,없다
344,NIA_SL_SEN0807_REAL01,기차 곳 내리다 맞다
345,NIA_SL_SEN1393_REAL01,여의도 가다 무엇
347,NIA_SL_SEN0663_REAL01,지름길 차내리다 가다
348,NIA_SL_SEN0559_REAL01,우회전 맞다
349,NIA_SL_SEN1371_REAL01,송파 지하철 길 무엇 방법
350,NIA_SL_SEN0710_REAL01,샛길 곳
352,NIA_SL_SEN0197_REAL01,필요
353,NIA_SL_SEN0298_REAL01,잠깐 기다리다
354,NIA_SL_SEN1870_REAL01,가방 없다 잃어버리다
355,NIA_SL_SEN0086_REAL01,여기 기차 되다
357,NIA_SL_SEN0620_REAL01,고속터미널 가다 차내리다
358,NIA_SL_SEN0818_REAL01,버스 곳 내리다 맞다
359,NIA_SL_SEN1777_REAL01,가방 잃어버리다
360,NIA_SL_SEN0079_REAL01,여기 서울 지하철
362,NIA_SL_SEN0215_REAL01,학교 보다 차내리다
363,NIA_SL_SEN0712_REAL01,샛길 여기 가다
364,NIA_SL_SEN1909_REAL01,유턴 맞다
365,NIA_SL_SEN1596_REAL01,경찰 저기 곳 다음
367,NIA_SL_SEN0929_REAL01,한국농아인협회 도착
368,NIA_SL_SEN0229_REAL01,좌회전 차내리다
369,NIA_SL_SEN0640_REAL01,명동 가다
370,NIA_SL_SEN1589_REAL01,은행 저기 곳 다음 도착 차내리다
372,NIA_SL_SEN0585_REAL01,응급실 차내리다
373,NIA_SL_SEN1640_REAL01,지하철 곳 다음 여기
374,NIA_SL_SEN0519_REAL01,학교 저기 곳
375,NIA_SL_SEN1296_REAL01,이마트 곳 저기 다음 도착 차내리다
377,NIA_SL_SEN1252_REAL01,맥도날드 보다 다음 곳 내리다
378,NIA_SL_SEN1369_REAL01,송파 지하철 찾다 방법 무엇
379,NIA_SL_SEN0010_REAL01,운전 천천히
380,NIA_SL_SEN0496_REAL01,차 트렁크열다
382,NIA_SL_SEN1442_REAL01,종로 찾다 가다 무엇
383,NIA_SL_SEN1278_REAL01,백화점 곳 다음 보다 내리다
384,NIA_SL_SEN0993_REAL01,청음회관 차내리다 오케이
385,NIA_SL_SEN0094_REAL01,도착 곳 국립박물관
387,NIA_SL_SEN1778_REAL01,가방 없다 잃어버리다
388,NIA_SL_SEN1976_REAL01,불편하다
389,NIA_SL_SEN0860_REAL01,차 엉덩이 트렁크열다
390,NIA_SL_SEN0950_REAL01,서대문농아인복지관 목적
392,NIA_SL_SEN1163_REAL01,에어컨 고장 잘 안되다
393,NIA_SL_SEN1054_REAL01,물품보관 고장 죽다
394,NIA_SL_SEN0835_REAL01,시청 차내리다
395,NIA_SL_SEN0173_REAL01,잠깐 기다리다
397,NIA_SL_SEN0916_REAL01,난방
398,NIA_SL_SEN0088_REAL01,택시 여기 되다
399,NIA_SL_SEN1928_REAL01,돈
400,NIA_SL_SEN1156_REAL01,카드 고장 사용 안되다
402,NIA_SL_SEN0096_REAL01,지하철 빨리 오다오다
403,NIA_SL_SEN0715_REAL01,아파트 저기 곳
404,NIA_SL_SEN0870_REAL01,한국농아인협회 내리다 오케이
405,NIA_SL_SEN1488_REAL01,군청 곳 다음 도착 차내리다
407,NIA_SL_SEN0075_REAL01,여기 명동 지하철
408,NIA_SL_SEN1255_REAL01,맥도날드 보다 곳 다음 도착 내리다
409,NIA_SL_SEN1462_REAL01,터널 다음 내리다
410,NIA_SL_SEN0047_REAL01,택시 돈 되다
412,NIA_SL_SEN0806_REAL01,기차 곳 차내리다 맞다
413,NIA_SL_SEN0965_REAL01,천안아산역 내리다
414,NIA_SL_SEN1965_REAL01,반지 없다 실종
415,NIA_SL_SEN0131_REAL01,도착 아직
417,NIA_SL_SEN0212_REAL01,차내리다 곳곳
418,NIA_SL_SEN0494_REAL01,카드 단말기터치 다시 해보다
419,NIA_SL_SEN0335_REAL01,분당 첫차 시간
420,NIA_SL_SEN0576_REAL01,나사렛 차내리다
422,NIA_SL_SEN0156_REAL01,설명 다시
423,NIA_SL_SEN1288_REAL01,이마트 저기 곳 다음 저기
424,NIA_SL_SEN0562_REAL01,유턴 맞다
425,NIA_SL_SEN1638_REAL01,지하철 곳 다음 도착 차내리다
427,NIA_SL_SEN1142_REAL01,단말기터치 사용 불가능
428,NIA_SL_SEN0027_REAL01,위험
429,NIA_SL_SEN0624_REAL01,지름길 차내리다 가다
430,NIA_SL_SEN1350_REAL01,서울대학교 길 목적 길 가다 방법
432,NIA_SL_SEN1602_REAL01,편지 저기 곳 다음 내리다
433,NIA_SL_SEN1985_REAL01,접근 도착 되다
434,NIA_SL_SEN1133_REAL01,자판기 불량 죽다
435,NIA_SL_SEN1919_REAL01,차밀리다 심하다
437,NIA_SL_SEN0041_REAL01,돈 얼마 맞다 확인
438,NIA_SL_SEN1194_REAL01,버스 전 곳 저기 도착 내리다
439,NIA_SL_SEN0533_REAL01,영수증 받다
440,NIA_SL_SEN1552_REAL01,육교 곳 다음 내리다
442,NIA_SL_SEN1474_REAL01,지하철 곳 다음 차내리다
443,NIA_SL_SEN0674_REAL01,나사렛 차내리다 가다
444,NIA_SL_SEN1399_REAL01,여의도 길 방법
445,NIA_SL_SEN0393_REAL01,도착 알려받다
447,NIA_SL_SEN1935_REAL01,돈
448,NIA_SL_SEN0484_REAL01,카드 다르다 교환하다
449,NIA_SL_SEN1446_REAL01,종로 목적 가다 방법
450,NIA_SL_SEN0882_REAL01,서울농아인협회 차내리다 오케이
452,NIA_SL_SEN0180_REAL01,한달 누적사용 내역 보여주다
453,NIA_SL_SEN1149_REAL01,카드 불량 안되다
454,NIA_SL_SEN1157_REAL01,에어컨 사용 안되다 고장
455,NIA_SL_SEN0786_REAL01,여기 차내리다 맞다
457,NIA_SL_SEN0586_REAL01,응급실 차내리다
458,NIA_SL_SEN1920_REAL01,차밀리다 괜찮다
459,NIA_SL_SEN0740_REAL01,기차 곳 맞다
460,NIA_SL_SEN1698_REAL01,사거리 다음 도착 차내리다
462,NIA_SL_SEN0110_REAL01,가능
463,NIA_SL_SEN1223_REAL01,스타벅스 전 곳 차내리다
464,NIA_SL_SEN1212_REAL01,스타벅스 곳 저기 전 차내리다
465,NIA_SL_SEN0144_REAL01,버스 곳 가깝다
467,NIA_SL_SEN1487_REAL01,군청 곳 다음 도착 내리다
468,NIA_SL_SEN0427_REAL01,여기 내리다 맞다
469,NIA_SL_SEN0487_REAL01,다르다 카드
470,NIA_SL_SEN1175_REAL01,열쇠 없다 잃어버리다
472,NIA_SL_SEN1702_REAL01,대로 다음 내리다
473,NIA_SL_SEN0401_REAL01,내리다 시간 알려받다
474,NIA_SL_SEN1284_REAL01,백화점 다음 곳 보다 차내리다
475,NIA_SL_SEN1235_REAL01,택시 전 저기 도착 내리다
477,NIA_SL_SEN1838_REAL01,우회전 확인 맞다
478,NIA_SL_SEN0627_REAL01,지름길 곳 가다
479,NIA_SL_SEN1866_REAL01,사진기 없다 실종
480,NIA_SL_SEN1575_REAL01,언덕 저기 곳 다음 차내리다
482,NIA_SL_SEN0972_REAL01,에어컨 끄다
483,NIA_SL_SEN1735_REAL01,언덕 저기 곳 다음 차내리다
484,NIA_SL_SEN1812_REAL01,지갑 없다 실종
485,NIA_SL_SEN0318_REAL01,천호 지하철 8호 갈아타다 방법
487,NIA_SL_SEN0495_REAL01,카드 단말기터치 다시 해보다
488,NIA_SL_SEN0954_REAL01,청음회관 가다
489,NIA_SL_SEN1019_REAL01,편의점 곳
490,NIA_SL_SEN1848_REAL01,좌회전 확인 맞다
492,NIA_SL_SEN1675_REAL01,버스 곳 다음 차내리다
493,NIA_SL_SEN1545_REAL01,대로 다음
494,NIA_SL_SEN1766_REAL01,편지 저기 곳 다음
495,NIA_SL_SEN1893_REAL01,핸드폰 잃어버리다
497,NIA_SL_SEN0593_REAL01,손바닥찍다 내리다
498,NIA_SL_SEN0815_REAL01,버스 곳 차내리다 맞다
499,NIA_SL_SEN0521_REAL01,학교 도착
500,NIA_SL_SEN1824_REAL01,카드 실종 잃어버리다
502,NIA_SL_SEN1947_REAL01,영수증 필요
503,NIA_SL_SEN0323_REAL01,물건 잃어버리다 보관 곳곳
504,NIA_SL_SEN1548_REAL01,대로 다음 도착 차내리다
505,NIA_SL_SEN0868_REAL01,한국농아인협회 오케이
507,NIA_SL_SEN0246_REAL01,지하철 곳 9호
508,NIA_SL_SEN0733_REAL01,저기 차내리다 맞다
509,NIA_SL_SEN0258_REAL01,도착 40분
510,NIA_SL_SEN0467_REAL01,물품보관 문안열리다 안되다
512,NIA_SL_SEN1775_REAL01,필요없다
513,NIA_SL_SEN0775_REAL01,시청 오케이
514,NIA_SL_SEN1607_REAL01,편지 저기 곳 다음 도착 내리다
515,NIA_SL_SEN1246_REAL01,택시 전 저기 곳 도착 차내리다
517,NIA_SL_SEN0364_REAL01,내리다 갈아타다 가능
518,NIA_SL_SEN0306_REAL01,교통카드 충전 되다
519,NIA_SL_SEN0571_REAL01,나사렛 가다
520,NIA_SL_SEN0789_REAL01,여기 차내리다 맞다
522,NIA_SL_SEN0888_REAL01,서대문농아인복지관 오케이
523,NIA_SL_SEN0390_REAL01,5호 갈아타다 안내하다 도움받다
524,NIA_SL_SEN0425_REAL01,여기 맞다
525,NIA_SL_SEN0706_REAL01,학교 안 가다
527,NIA_SL_SEN1833_REAL01,우회전 맞다
528,NIA_SL_SEN0270_REAL01,학교 주차
529,NIA_SL_SEN1167_REAL01,공항 버스 곳 전 보다 도착 차내리다
530,NIA_SL_SEN1610_REAL01,편지 저기 곳 다음 도착 차내리다
532,NIA_SL_SEN0207_REAL01,잠실대교 가다
533,NIA_SL_SEN1715_REAL01,육교 곳 다음
534,NIA_SL_SEN0150_REAL01,물건 없다
535,NIA_SL_SEN1592_REAL01,경찰 저기 곳 다음 내리다
537,NIA_SL_SEN1501_REAL01,샛길 다음 여기
538,NIA_SL_SEN1555_REAL01,육교 곳 다음
539,NIA_SL_SEN1226_REAL01,스타벅스 전 곳 도착 차내리다
540,NIA_SL_SEN0404_REAL01,내리다 곳 알려주다
542,NIA_SL_SEN0730_REAL01,저기 맞다
543,NIA_SL_SEN0130_REAL01,지연되다 5분
544,NIA_SL_SEN0097_REAL01,지하철오다 중
545,NIA_SL_SEN1497_REAL01,병원 저기 다음 도착 내리다
547,NIA_SL_SEN0800_REAL01,지금 차내리다 맞다
548,NIA_SL_SEN1386_REAL01,여의도 목적 방법
549,NIA_SL_SEN1397_REAL01,여의도 무엇 방법
550,NIA_SL_SEN0436_REAL01,신호등 전 차내리다
