Num,Foldername,Kor
108,NIA_SL_SEN1356_REAL01,서울대학교 가다 원하다 길 가다 방법
109,NIA_SL_SEN1044_REAL01,안내소 뼈곳
110,NIA_SL_SEN1234_REAL01,택시 전 저기 곳
113,NIA_SL_SEN0805_REAL01,기차 곳 차내리다 맞다
114,NIA_SL_SEN1974_REAL01,노트북 찾다 실종
115,NIA_SL_SEN0748_REAL01,기차 곳 차내리다 맞다
117,NIA_SL_SEN0804_REAL01,기차 곳 내리다 맞다
118,NIA_SL_SEN0406_REAL01,택시 문자보내다 맞다
119,NIA_SL_SEN0061_REAL01,돈 계산 잘못하다
120,NIA_SL_SEN1570_REAL01,보건소 곳 다음 여기
123,NIA_SL_SEN1541_REAL01,대로 다음 내리다
124,NIA_SL_SEN0367_REAL01,1호 맞다
125,NIA_SL_SEN0848_REAL01,나사렛 오케이
127,NIA_SL_SEN1889_REAL01,안경 찾다 실종
128,NIA_SL_SEN1482_REAL01,군청 곳 다음 내리다
129,NIA_SL_SEN0030_REAL01,항상
130,NIA_SL_SEN1254_REAL01,맥도날드 보다 다음 곳 차내리다
133,NIA_SL_SEN0579_REAL01,나사렛 곳
134,NIA_SL_SEN0045_REAL01,고속 돈주다
135,NIA_SL_SEN0259_REAL01,계산 남다 돈받다
137,NIA_SL_SEN1594_REAL01,경찰 저기 곳 다음 차내리다
138,NIA_SL_SEN1108_REAL01,난방 불량 사용 불가능
139,NIA_SL_SEN1733_REAL01,언덕 저기 곳 다음 내리다
140,NIA_SL_SEN0415_REAL01,명동 가다
143,NIA_SL_SEN1765_REAL01,편지 저기 곳 다음 차내리다
144,NIA_SL_SEN1668_REAL01,샛길 저기 다음 도착 내리다
145,NIA_SL_SEN0188_REAL01,괜찮다
147,NIA_SL_SEN1039_REAL01,안내소 무엇
148,NIA_SL_SEN0826_REAL01,건너다 오케이
149,NIA_SL_SEN0809_REAL01,기차 곳 차내리다 맞다
150,NIA_SL_SEN0910_REAL01,에어컨 켜다
153,NIA_SL_SEN0582_REAL01,응급실 가다
154,NIA_SL_SEN1513_REAL01,버스 곳 다음 내리다
155,NIA_SL_SEN1748_REAL01,은행 저기 곳 다음 도착 내리다
157,NIA_SL_SEN0507_REAL01,유리 올리다
158,NIA_SL_SEN1352_REAL01,서울대학교 찾다 목적 길 가다 방법
159,NIA_SL_SEN0219_REAL01,사거리 우회전
160,NIA_SL_SEN0920_REAL01,난방 켜다
163,NIA_SL_SEN0242_REAL01,지하철 계단 곳 12
164,NIA_SL_SEN1490_REAL01,군청 곳 다음 여기
165,NIA_SL_SEN1123_REAL01,물품보관 불량 죽다
167,NIA_SL_SEN1981_REAL01,빨리 접근 가능
168,NIA_SL_SEN0179_REAL01,한달 누적사용 내역 보다 원하다
169,NIA_SL_SEN1499_REAL01,병원 저기 다음 도착 차내리다
170,NIA_SL_SEN0029_REAL01,항상
173,NIA_SL_SEN1984_REAL01,접근 도착 가능
174,NIA_SL_SEN1849_REAL01,좌회전 맞다
175,NIA_SL_SEN1301_REAL01,이마트 다음 곳 내리다
177,NIA_SL_SEN0634_REAL01,명동 내리다
178,NIA_SL_SEN1152_REAL01,카드 불량 잘 안되다
179,NIA_SL_SEN1155_REAL01,카드 불량 사용 안되다
180,NIA_SL_SEN0739_REAL01,기차 곳 맞다
183,NIA_SL_SEN0249_REAL01,8호 곳곳
184,NIA_SL_SEN1737_REAL01,언덕 저기 곳 다음 도착 내리다
185,NIA_SL_SEN1354_REAL01,서울대학교 목적 가다 길 무엇
187,NIA_SL_SEN0983_REAL01,청음회관
188,NIA_SL_SEN0618_REAL01,고속터미널 가다 내리다
189,NIA_SL_SEN1114_REAL01,엘리베이터 고장 사용 불가능
190,NIA_SL_SEN0515_REAL01,에어컨 끄다
193,NIA_SL_SEN1160_REAL01,에어컨 고장 안되다
194,NIA_SL_SEN0117_REAL01,신분당 곳
195,NIA_SL_SEN0909_REAL01,에어컨 켜다
197,NIA_SL_SEN1531_REAL01,사거리 다음 내리다
198,NIA_SL_SEN0191_REAL01,충분하다
199,NIA_SL_SEN0670_REAL01,지름길 가다 차내리다
200,NIA_SL_SEN1200_REAL01,버스 곳 전 보다 차내리다
203,NIA_SL_SEN1227_REAL01,택시 전 곳 도착 차내리다
204,NIA_SL_SEN1196_REAL01,버스 곳 전 보다 내리다
205,NIA_SL_SEN1760_REAL01,경찰 저기 곳 다음 도착 차내리다
207,NIA_SL_SEN1960_REAL01,시계 잃어버리다 실종
208,NIA_SL_SEN1667_REAL01,샛길 저기 다음 도착 내리다
209,NIA_SL_SEN1065_REAL01,자판기 안되다 죽다
210,NIA_SL_SEN1117_REAL01,물품보관 불량
213,NIA_SL_SEN1783_REAL01,가방 잃어버리다 실종
214,NIA_SL_SEN1678_REAL01,버스 곳 저기 다음 도착 내리다
215,NIA_SL_SEN0957_REAL01,청음회관 차내리다
217,NIA_SL_SEN1422_REAL01,이화여대 찾다 목적 방법
218,NIA_SL_SEN0781_REAL01,여기 맞다
219,NIA_SL_SEN1136_REAL01,자판기 잘 안되다 죽다
220,NIA_SL_SEN1189_REAL01,버스 전 곳 저기 내리다
223,NIA_SL_SEN1879_REAL01,아이 실종
224,NIA_SL_SEN1078_REAL01,단말기터치 사용 불가능 고장
225,NIA_SL_SEN0389_REAL01,엘리베이터 안내하다 도와주다
227,NIA_SL_SEN1221_REAL01,스타벅스 전 곳 내리다
228,NIA_SL_SEN0676_REAL01,학교 안 도착
229,NIA_SL_SEN1609_REAL01,편지 저기 곳 다음 도착 차내리다
230,NIA_SL_SEN0352_REAL01,시간 지연되다 몇분
233,NIA_SL_SEN0129_REAL01,시간 지연되다 5분
234,NIA_SL_SEN1070_REAL01,공기청정기 안되다 불량
235,NIA_SL_SEN0981_REAL01,따뜻하다 끄다
237,NIA_SL_SEN1851_REAL01,좌회전 맞다
238,NIA_SL_SEN1917_REAL01,차밀리다 기다리다
239,NIA_SL_SEN0175_REAL01,여기 있다
240,NIA_SL_SEN0753_REAL01,버스 곳 차내리다 맞다
243,NIA_SL_SEN1505_REAL01,샛길 다음 차내리다
244,NIA_SL_SEN0123_REAL01,9호 갈아타다 목적
245,NIA_SL_SEN1809_REAL01,지갑 잃어버리다
247,NIA_SL_SEN1903_REAL01,카드 실종
248,NIA_SL_SEN0346_REAL01,지하철 안 에어컨 냄새
249,NIA_SL_SEN0271_REAL01,학교 주차 되다
250,NIA_SL_SEN0435_REAL01,신호등 전 내리다
253,NIA_SL_SEN0353_REAL01,지하철 문 여기 번호
254,NIA_SL_SEN0349_REAL01,핸드폰 잃어버리다 찾다
255,NIA_SL_SEN0652_REAL01,공항 내리다 가다
257,NIA_SL_SEN1118_REAL01,물품보관 고장
258,NIA_SL_SEN1515_REAL01,버스 곳 다음 차내리다
259,NIA_SL_SEN0723_REAL01,나사렛 전 곳
260,NIA_SL_SEN1091_REAL01,카드 사용 불가능 안되다
263,NIA_SL_SEN0143_REAL01,버스 곳 가깝다
264,NIA_SL_SEN1998_REAL01,보청기 찾다 실종
265,NIA_SL_SEN1724_REAL01,보건소 곳 다음 차내리다
267,NIA_SL_SEN1982_REAL01,빨리 접근 되다
268,NIA_SL_SEN1291_REAL01,이마트 곳 저기 다음 차내리다
269,NIA_SL_SEN0692_REAL01,아파트 저기
270,NIA_SL_SEN0296_REAL01,지하철 문 틈 이어폰 떨어지다
273,NIA_SL_SEN1666_REAL01,샛길 저기 다음 곳
274,NIA_SL_SEN1355_REAL01,서울대학교 곳 가다 길 가다 방법
275,NIA_SL_SEN0048_REAL01,택시 돈 되다
277,NIA_SL_SEN0385_REAL01,지하철 곳 안내하다
278,NIA_SL_SEN0103_REAL01,지하철 곳 12
279,NIA_SL_SEN1827_REAL01,우회전 맞다
280,NIA_SL_SEN0319_REAL01,약수 지하철 3호 갈아타다
283,NIA_SL_SEN0322_REAL01,물건 잃어버리다
284,NIA_SL_SEN1440_REAL01,이화여대 길 목적 길 무엇
285,NIA_SL_SEN0151_REAL01,짐 차 트렁크열다 나르다
287,NIA_SL_SEN1216_REAL01,스타벅스 곳 저기 전 도착 차내리다
288,NIA_SL_SEN0186_REAL01,발생하다
289,NIA_SL_SEN0716_REAL01,아파트 안 곳
290,NIA_SL_SEN0568_REAL01,카드 되다
293,NIA_SL_SEN1717_REAL01,육교 곳 다음 도착 내리다
294,NIA_SL_SEN1536_REAL01,사거리 다음 도착 내리다
295,NIA_SL_SEN1632_REAL01,지하철 곳 다음 내리다
297,NIA_SL_SEN1408_REAL01,영등포 길 찾다 무엇 방법
298,NIA_SL_SEN1338_REAL01,3 곳 길 무엇
299,NIA_SL_SEN0760_REAL01,건너다 내리다
300,NIA_SL_SEN0062_REAL01,돈 계산 틀리다
303,NIA_SL_SEN1432_REAL01,이화여대 길 목적 곳 방법
304,NIA_SL_SEN0146_REAL01,없다
305,NIA_SL_SEN0807_REAL01,기차 곳 내리다 맞다
307,NIA_SL_SEN1393_REAL01,여의도 가다 무엇
308,NIA_SL_SEN0663_REAL01,지름길 차내리다 가다
309,NIA_SL_SEN0559_REAL01,우회전 맞다
310,NIA_SL_SEN1371_REAL01,송파 지하철 길 무엇 방법
313,NIA_SL_SEN0298_REAL01,잠깐 기다리다
314,NIA_SL_SEN1870_REAL01,가방 없다 잃어버리다
315,NIA_SL_SEN0086_REAL01,여기 기차 되다
317,NIA_SL_SEN0620_REAL01,고속터미널 가다 차내리다
318,NIA_SL_SEN0818_REAL01,버스 곳 내리다 맞다
319,NIA_SL_SEN1777_REAL01,가방 잃어버리다
320,NIA_SL_SEN0079_REAL01,여기 서울 지하철
323,NIA_SL_SEN1909_REAL01,유턴 맞다
324,NIA_SL_SEN1596_REAL01,경찰 저기 곳 다음
325,NIA_SL_SEN0929_REAL01,한국농아인협회 도착
327,NIA_SL_SEN0229_REAL01,좌회전 차내리다
328,NIA_SL_SEN0640_REAL01,명동 가다
329,NIA_SL_SEN1589_REAL01,은행 저기 곳 다음 도착 차내리다
330,NIA_SL_SEN0585_REAL01,응급실 차내리다
333,NIA_SL_SEN1296_REAL01,이마트 곳 저기 다음 도착 차내리다
334,NIA_SL_SEN1252_REAL01,맥도날드 보다 다음 곳 내리다
335,NIA_SL_SEN1369_REAL01,송파 지하철 찾다 방법 무엇
337,NIA_SL_SEN0010_REAL01,운전 천천히
338,NIA_SL_SEN0496_REAL01,차 트렁크열다
339,NIA_SL_SEN1442_REAL01,종로 찾다 가다 무엇
340,NIA_SL_SEN1278_REAL01,백화점 곳 다음 보다 내리다
343,NIA_SL_SEN1778_REAL01,가방 없다 잃어버리다
344,NIA_SL_SEN1976_REAL01,불편하다
345,NIA_SL_SEN0860_REAL01,차 엉덩이 트렁크열다
347,NIA_SL_SEN0950_REAL01,서대문농아인복지관 목적
348,NIA_SL_SEN1163_REAL01,에어컨 고장 잘 안되다
349,NIA_SL_SEN1054_REAL01,물품보관 고장 죽다
350,NIA_SL_SEN0835_REAL01,시청 차내리다
353,NIA_SL_SEN0088_REAL01,택시 여기 되다
354,NIA_SL_SEN1928_REAL01,돈
355,NIA_SL_SEN1156_REAL01,카드 고장 사용 안되다
357,NIA_SL_SEN0096_REAL01,지하철 빨리 오다오다
358,NIA_SL_SEN0715_REAL01,아파트 저기 곳
359,NIA_SL_SEN0870_REAL01,한국농아인협회 내리다 오케이
360,NIA_SL_SEN1488_REAL01,군청 곳 다음 도착 차내리다
363,NIA_SL_SEN1462_REAL01,터널 다음 내리다
364,NIA_SL_SEN0047_REAL01,택시 돈 되다
365,NIA_SL_SEN0806_REAL01,기차 곳 차내리다 맞다
367,NIA_SL_SEN0965_REAL01,천안아산역 내리다
368,NIA_SL_SEN1965_REAL01,반지 없다 실종
369,NIA_SL_SEN0131_REAL01,도착 아직
370,NIA_SL_SEN0212_REAL01,차내리다 곳곳
373,NIA_SL_SEN0576_REAL01,나사렛 차내리다
374,NIA_SL_SEN0156_REAL01,설명 다시
375,NIA_SL_SEN1288_REAL01,이마트 저기 곳 다음 저기
377,NIA_SL_SEN0562_REAL01,유턴 맞다
378,NIA_SL_SEN1638_REAL01,지하철 곳 다음 도착 차내리다
379,NIA_SL_SEN1142_REAL01,단말기터치 사용 불가능
380,NIA_SL_SEN0027_REAL01,위험
383,NIA_SL_SEN1602_REAL01,편지 저기 곳 다음 내리다
384,NIA_SL_SEN1985_REAL01,접근 도착 되다
385,NIA_SL_SEN1133_REAL01,자판기 불량 죽다
387,NIA_SL_SEN1919_REAL01,차밀리다 심하다
388,NIA_SL_SEN0041_REAL01,돈 얼마 맞다 확인
389,NIA_SL_SEN1194_REAL01,버스 전 곳 저기 도착 내리다
390,NIA_SL_SEN0533_REAL01,영수증 받다
393,NIA_SL_SEN0674_REAL01,나사렛 차내리다 가다
394,NIA_SL_SEN1399_REAL01,여의도 길 방법
395,NIA_SL_SEN0393_REAL01,도착 알려받다
397,NIA_SL_SEN1935_REAL01,돈
398,NIA_SL_SEN0484_REAL01,카드 다르다 교환하다
399,NIA_SL_SEN1446_REAL01,종로 목적 가다 방법
400,NIA_SL_SEN0882_REAL01,서울농아인협회 차내리다 오케이
403,NIA_SL_SEN1157_REAL01,에어컨 사용 안되다 고장
404,NIA_SL_SEN0786_REAL01,여기 차내리다 맞다
405,NIA_SL_SEN0586_REAL01,응급실 차내리다
407,NIA_SL_SEN1920_REAL01,차밀리다 괜찮다
408,NIA_SL_SEN0740_REAL01,기차 곳 맞다
409,NIA_SL_SEN1698_REAL01,사거리 다음 도착 차내리다
410,NIA_SL_SEN0110_REAL01,가능
413,NIA_SL_SEN0144_REAL01,버스 곳 가깝다
414,NIA_SL_SEN1487_REAL01,군청 곳 다음 도착 내리다
415,NIA_SL_SEN0427_REAL01,여기 내리다 맞다
417,NIA_SL_SEN0487_REAL01,다르다 카드
418,NIA_SL_SEN1175_REAL01,열쇠 없다 잃어버리다
419,NIA_SL_SEN1702_REAL01,대로 다음 내리다
420,NIA_SL_SEN0401_REAL01,내리다 시간 알려받다
423,NIA_SL_SEN1838_REAL01,우회전 확인 맞다
424,NIA_SL_SEN0627_REAL01,지름길 곳 가다
425,NIA_SL_SEN1866_REAL01,사진기 없다 실종
427,NIA_SL_SEN1575_REAL01,언덕 저기 곳 다음 차내리다
428,NIA_SL_SEN0972_REAL01,에어컨 끄다
429,NIA_SL_SEN1735_REAL01,언덕 저기 곳 다음 차내리다
430,NIA_SL_SEN1812_REAL01,지갑 없다 실종
433,NIA_SL_SEN0954_REAL01,청음회관 가다
434,NIA_SL_SEN1019_REAL01,편의점 곳
435,NIA_SL_SEN1848_REAL01,좌회전 확인 맞다
437,NIA_SL_SEN1675_REAL01,버스 곳 다음 차내리다
438,NIA_SL_SEN1545_REAL01,대로 다음
439,NIA_SL_SEN1766_REAL01,편지 저기 곳 다음
440,NIA_SL_SEN1893_REAL01,핸드폰 잃어버리다
443,NIA_SL_SEN0521_REAL01,학교 도착
444,NIA_SL_SEN1824_REAL01,카드 실종 잃어버리다
445,NIA_SL_SEN1947_REAL01,영수증 필요
447,NIA_SL_SEN0323_REAL01,물건 잃어버리다 보관 곳곳
448,NIA_SL_SEN1548_REAL01,대로 다음 도착 차내리다
449,NIA_SL_SEN0868_REAL01,한국농아인협회 오케이
450,NIA_SL_SEN0246_REAL01,지하철 곳 9호
453,NIA_SL_SEN0467_REAL01,물품보관 문안열리다 안되다
454,NIA_SL_SEN1775_REAL01,필요없다
455,NIA_SL_SEN0775_REAL01,시청 오케이
457,NIA_SL_SEN1607_REAL01,편지 저기 곳 다음 도착 내리다
458,NIA_SL_SEN1246_REAL01,택시 전 저기 곳 도착 차내리다
459,NIA_SL_SEN0364_REAL01,내리다 갈아타다 가능
460,NIA_SL_SEN0306_REAL01,교통카드 충전 되다
463,NIA_SL_SEN0888_REAL01,서대문농아인복지관 오케이
464,NIA_SL_SEN0390_REAL01,5호 갈아타다 안내하다 도움받다
465,NIA_SL_SEN0425_REAL01,여기 맞다
467,NIA_SL_SEN0706_REAL01,학교 안 가다
468,NIA_SL_SEN1833_REAL01,우회전 맞다
469,NIA_SL_SEN0270_REAL01,학교 주차
470,NIA_SL_SEN1167_REAL01,공항 버스 곳 전 보다 도착 차내리다
473,NIA_SL_SEN1715_REAL01,육교 곳 다음
474,NIA_SL_SEN0150_REAL01,물건 없다
475,NIA_SL_SEN1592_REAL01,경찰 저기 곳 다음 내리다
477,NIA_SL_SEN1501_REAL01,샛길 다음 여기
478,NIA_SL_SEN1555_REAL01,육교 곳 다음
479,NIA_SL_SEN1226_REAL01,스타벅스 전 곳 도착 차내리다
480,NIA_SL_SEN0404_REAL01,내리다 곳 알려주다
483,NIA_SL_SEN0097_REAL01,지하철오다 중
484,NIA_SL_SEN1497_REAL01,병원 저기 다음 도착 내리다
485,NIA_SL_SEN0800_REAL01,지금 차내리다 맞다
487,NIA_SL_SEN1386_REAL01,여의도 목적 방법
488,NIA_SL_SEN1397_REAL01,여의도 무엇 방법
489,NIA_SL_SEN0436_REAL01,신호등 전 차내리다
490,NIA_SL_SEN0402_REAL01,내리다 시간 알려주다
493,NIA_SL_SEN0228_REAL01,우회전 차내리다
494,NIA_SL_SEN1690_REAL01,119 곳 저기 다음 도착 차내리다
495,NIA_SL_SEN0756_REAL01,버스 곳 내리다 맞다
497,NIA_SL_SEN0046_REAL01,고속 돈주다
498,NIA_SL_SEN0374_REAL01,도착 10분 전
499,NIA_SL_SEN1568_REAL01,보건소 곳 다음 도착 차내리다
500,NIA_SL_SEN0320_REAL01,약수 지하철 3호 갈아타다 방법
503,NIA_SL_SEN0380_REAL01,도착 시간 딱
504,NIA_SL_SEN1302_REAL01,이마트 다음 곳 차내리다
505,NIA_SL_SEN0511_REAL01,에어컨 끄다
507,NIA_SL_SEN0187_REAL01,괜찮다
508,NIA_SL_SEN0746_REAL01,기차 곳 내리다 맞다
509,NIA_SL_SEN0678_REAL01,나사렛 곳 가다
510,NIA_SL_SEN0081_REAL01,여기 송파 지하철 맞다
513,NIA_SL_SEN1176_REAL01,공항 버스 전 곳 보다 저기
514,NIA_SL_SEN1083_REAL01,단말기터치 고장 잘 안되다
515,NIA_SL_SEN1806_REAL01,우산 사라지다 실종
517,NIA_SL_SEN0326_REAL01,지하철 곳 편의점 있다
518,NIA_SL_SEN0504_REAL01,차 내리다
519,NIA_SL_SEN0771_REAL01,시청 내리다
520,NIA_SL_SEN0272_REAL01,다음 몇분
523,NIA_SL_SEN1738_REAL01,언덕 저기 곳 다음 도착 내리다
524,NIA_SL_SEN0773_REAL01,시청 차내리다
525,NIA_SL_SEN1046_REAL01,아니다
527,NIA_SL_SEN1611_REAL01,신호등 다음 내리다
528,NIA_SL_SEN0541_REAL01,유리 올리다
529,NIA_SL_SEN1699_REAL01,사거리 다음 도착 차내리다
530,NIA_SL_SEN0210_REAL01,빨리
533,NIA_SL_SEN0917_REAL01,따뜻하다 켜다
534,NIA_SL_SEN0171_REAL01,표
535,NIA_SL_SEN0109_REAL01,가능
537,NIA_SL_SEN0600_REAL01,손바닥찍다 가다
538,NIA_SL_SEN0797_REAL01,지금 내리다 맞다
539,NIA_SL_SEN0951_REAL01,서대문농아인복지관 곳
540,NIA_SL_SEN0384_REAL01,지하철 갈아타다 곳곳 도움받다
543,NIA_SL_SEN1452_REAL01,종로 목적 가다 무엇 방법
544,NIA_SL_SEN0172_REAL01,표
545,NIA_SL_SEN1537_REAL01,사거리 다음 도착 내리다
547,NIA_SL_SEN1043_REAL01,안내소 무엇 곳
548,NIA_SL_SEN1622_REAL01,터널 다음 내리다
549,NIA_SL_SEN1540_REAL01,사거리 다음 여기
550,NIA_SL_SEN1322_REAL01,파리바게트 다음 저기 곳 차내리다
553,NIA_SL_SEN1719_REAL01,육교 곳 다음 도착 차내리다
554,NIA_SL_SEN0812_REAL01,버스 곳 맞다
555,NIA_SL_SEN1882_REAL01,아이 사라지다 실종
557,NIA_SL_SEN1768_REAL01,편지 저기 곳 다음 도착 내리다
558,NIA_SL_SEN1412_REAL01,영등포 길 찾다 곳 방법
559,NIA_SL_SEN0754_REAL01,버스 곳 차내리다 맞다
560,NIA_SL_SEN0208_REAL01,잠실대교 가다
563,NIA_SL_SEN0623_REAL01,지름길 차내리다 가다
564,NIA_SL_SEN0850_REAL01,나사렛 내리다 오케이
565,NIA_SL_SEN0289_REAL01,배 위쪼이다 아프다
567,NIA_SL_SEN1363_REAL01,송파 지하철 가다 방법
568,NIA_SL_SEN1403_REAL01,영등포 곳 찾다 방법 무엇
569,NIA_SL_SEN0857_REAL01,차 뒤 엉덩이 들어올리다
570,NIA_SL_SEN0923_REAL01,한국농아인협회 가다
573,NIA_SL_SEN1629_REAL01,터널 다음 도착 차내리다
574,NIA_SL_SEN0139_REAL01,약 가깝다
575,NIA_SL_SEN1507_REAL01,샛길 저기 다음 도착 내리다
577,NIA_SL_SEN1349_REAL01,서울대학교 곳 목적 길 가다 방법
578,NIA_SL_SEN1930_REAL01,돈
579,NIA_SL_SEN1601_REAL01,편지 다음 여기
580,NIA_SL_SEN0500_REAL01,뒤 엉덩이 들어올리다
583,NIA_SL_SEN1017_REAL01,자판기 곳 무엇
584,NIA_SL_SEN0564_REAL01,유턴 맞다
585,NIA_SL_SEN1088_REAL01,카드 사용 불가능 고장
587,NIA_SL_SEN1121_REAL01,물품보관 사용 안되다
588,NIA_SL_SEN1495_REAL01,병원 다음 차내리다
589,NIA_SL_SEN1320_REAL01,파리바게트 다음 저기 곳 내리다
590,NIA_SL_SEN1665_REAL01,샛길 다음 차내리다
593,NIA_SL_SEN1340_REAL01,3 가다 길 무엇
594,NIA_SL_SEN1081_REAL01,단말기터치 사용 불가능 안되다
595,NIA_SL_SEN0759_REAL01,건너다
597,NIA_SL_SEN1952_REAL01,사진기 잃어버리다 실종
598,NIA_SL_SEN0397_REAL01,도착 곳 알려받다
599,NIA_SL_SEN0717_REAL01,아파트 안 도착
600,NIA_SL_SEN0254_REAL01,만나다 반갑다
603,NIA_SL_SEN0153_REAL01,뒤 트렁크닫다
604,NIA_SL_SEN1841_REAL01,좌회전 맞다
605,NIA_SL_SEN1348_REAL01,서울대학교 찾다 목적 가다 방법
607,NIA_SL_SEN0486_REAL01,카드 또 다르다 없다
608,NIA_SL_SEN1382_REAL01,송파 지하철 길 목적 방법
609,NIA_SL_SEN1394_REAL01,여의도 가다 원하다 무엇
610,NIA_SL_SEN1084_REAL01,단말기터치 사용 잘 안되다
613,NIA_SL_SEN0777_REAL01,시청 내리다 오케이
614,NIA_SL_SEN0699_REAL01,저기 아파트 가다
615,NIA_SL_SEN0532_REAL01,영수증 받다
617,NIA_SL_SEN1845_REAL01,좌회전 확인 맞다
618,NIA_SL_SEN0914_REAL01,난방 켜다
619,NIA_SL_SEN1049_REAL01,계단 곳 무엇
620,NIA_SL_SEN0613_REAL01,고속터미널 차내리다 가다
623,NIA_SL_SEN0944_REAL01,서대문농아인복지관 가다
624,NIA_SL_SEN1823_REAL01,카드 잃어버리다 실종
625,NIA_SL_SEN1604_REAL01,편지 저기 곳 다음 차내리다
627,NIA_SL_SEN1127_REAL01,자판기 불량
628,NIA_SL_SEN0174_REAL01,여기 기다리다
